LocationID,Borough,Zone,service_zone,centroid_lat,centroid_lon
49,Brooklyn,Clinton Hill,Unknown,40.687967457147465,-73.9623635381836
50,Manhattan,Clinton West,Unknown,40.76623772504186,-73.99513522075517
51,Bronx,Co-Op City,Unknown,40.87397305492024,-73.82826367307186
52,Brooklyn,Cobble Hill,Unknown,40.68665124165606,-73.99672403175194
53,Queens,College Point,Unknown,40.78091235579126,-73.84281349543204
54,Brooklyn,Columbia Street,Unknown,40.68720074733727,-74.00291127745284
55,Brooklyn,Coney Island,Unknown,40.57696075363783,-73.98794343407195
56,Queens,Corona,Unknown,40.74140677482976,-73.85884524943998
56,Queens,Corona,Unknown,40.751819366999456,-73.85358156034266
58,Bronx,Country Club,Unknown,40.841452100682524,-73.82039319252785
59,Bronx,Crotona Park,Unknown,40.83855028852789,-73.89498588493974
60,Bronx,Crotona Park East,Unknown,40.83399047727385,-73.88590003419152
61,Brooklyn,Crown Heights North,Unknown,40.674469418266476,-73.93928705867957
62,Brooklyn,Crown Heights South,Unknown,40.66654040578564,-73.94878853931499
63,Brooklyn,Cypress Hills,Unknown,40.683839761951035,-73.8781726105025
64,Queens,Douglaston,Unknown,40.76061560532153,-73.73933714992867
65,Brooklyn,Downtown Brooklyn/MetroTech,Unknown,40.695337529461135,-73.98608600498395
66,Brooklyn,DUMBO/Vinegar Hill,Unknown,40.7022589388225,-73.98570161582288
67,Brooklyn,Dyker Heights,Unknown,40.619619467835136,-74.01380148744008
68,Manhattan,East Chelsea,Unknown,40.748427555065724,-73.99991742024712
69,Bronx,East Concourse/Concourse Village,Unknown,40.831416697085196,-73.91502929553266
70,Queens,East Elmhurst,Unknown,40.763352201133145,-73.86839559842018
71,Brooklyn,East Flatbush/Farragut,Unknown,40.64428817438921,-73.93796627061694
72,Brooklyn,East Flatbush/Remsen Village,Unknown,40.65236480407742,-73.92225097400495
73,Queens,East Flushing,Unknown,40.75410888689297,-73.80729418212229
74,Manhattan,East Harlem North,Unknown,40.801169480586516,-73.93734560812497
75,Manhattan,East Harlem South,Unknown,40.79001075149546,-73.94575026755157
